data,Feedback,population,question,subject
12,fb,1,FreqPredict_2,9
12,fb,1,FreqPredict_3,9
17,fb,1,FreqPredict_4,9
16,fb,1,FreqPredict_5,9
Easy,fb,1,SCForcedChoice_red,9
Easy,fb,1,SCForcedChoice_orange,9
Easy,fb,1,SCForcedChoice_yellow,9
Easy,fb,1,SCForcedChoice_green,9
Hard,fb,1,SCForcedChoice_blue,9
Hard,fb,1,SCForcedChoice_purple,9
posttest:Post-Test:;,fb,1,TypeResp,10
1,fb,1,BlockVaryQ,10
1,fb,1,ItemVaryQ,10
89,fb,1,FreqPredict_1,10
81,fb,1,FreqPredict_2,10
96,fb,1,FreqPredict_3,10
83,fb,1,FreqPredict_4,10
100,fb,1,FreqPredict_5,10
Neutral,fb,1,SCForcedChoice_red,10
Easy,fb,1,SCForcedChoice_orange,10
Neutral,fb,1,SCForcedChoice_yellow,10
Easy,fb,1,SCForcedChoice_green,10
Hard,fb,1,SCForcedChoice_blue,10
Neutral,fb,1,SCForcedChoice_purple,10
posttest:Post-Test:;,fb,1,TypeResp,11
1,fb,1,BlockVaryQ,11
1,fb,1,ItemVaryQ,11
95,fb,1,FreqPredict_1,11
74,fb,1,FreqPredict_2,11
73,fb,1,FreqPredict_3,11
77,fb,1,FreqPredict_4,11
86,fb,1,FreqPredict_5,11
Neutral,fb,1,SCForcedChoice_red,11
Easy,fb,1,SCForcedChoice_orange,11
Easy,fb,1,SCForcedChoice_yellow,11
Neutral,fb,1,SCForcedChoice_green,11
Easy,fb,1,SCForcedChoice_blue,11
Easy,fb,1,SCForcedChoice_purple,11
posttest:Post-Test:;,fb,1,TypeResp,12
1,fb,1,BlockVaryQ,12
1,fb,1,ItemVaryQ,12
72,fb,1,FreqPredict_1,12
83,fb,1,FreqPredict_2,12
63,fb,1,FreqPredict_3,12
62,fb,1,FreqPredict_4,12
73,fb,1,FreqPredict_5,12
Easy,fb,1,SCForcedChoice_red,12
Hard,fb,1,SCForcedChoice_orange,12
Easy,fb,1,SCForcedChoice_yellow,12
Easy,fb,1,SCForcedChoice_green,12
Easy,fb,1,SCForcedChoice_blue,12
Hard,fb,1,SCForcedChoice_purple,12
posttest:Post-Test:;,fb,1,TypeResp,13
0,fb,1,BlockVaryQ,13
0,fb,1,ItemVaryQ,13
1,fb,1,FreqPredict_1,13
50,fb,1,FreqPredict_2,13
1,fb,1,FreqPredict_3,13
1,fb,1,FreqPredict_4,13
1,fb,1,FreqPredict_5,13
Easy,fb,1,SCForcedChoice_red,13
Hard,fb,1,SCForcedChoice_orange,13
Easy,fb,1,SCForcedChoice_yellow,13
Hard,fb,1,SCForcedChoice_green,13
Hard,fb,1,SCForcedChoice_blue,13
Hard,fb,1,SCForcedChoice_purple,13
posttest:Post-Test:;,fb,1,TypeResp,14
1,fb,1,BlockVaryQ,14
1,fb,1,ItemVaryQ,14
50,fb,1,FreqPredict_1,14
70,fb,1,FreqPredict_2,14
35,fb,1,FreqPredict_3,14
85,fb,1,FreqPredict_4,14
0,fb,1,FreqPredict_5,14
Hard,fb,1,SCForcedChoice_red,14
Hard,fb,1,SCForcedChoice_orange,14
Easy,fb,1,SCForcedChoice_yellow,14
Easy,fb,1,SCForcedChoice_green,14
Neutral,fb,1,SCForcedChoice_blue,14
Neutral,fb,1,SCForcedChoice_purple,14
posttest:Post-Test:;,fb,1,TypeResp,15
1,fb,1,BlockVaryQ,15
1,fb,1,ItemVaryQ,15
100,fb,1,FreqPredict_1,15
92,fb,1,FreqPredict_2,15
99,fb,1,FreqPredict_3,15
93,fb,1,FreqPredict_4,15
100,fb,1,FreqPredict_5,15
Easy,fb,1,SCForcedChoice_red,15
Easy,fb,1,SCForcedChoice_orange,15
Easy,fb,1,SCForcedChoice_yellow,15
Easy,fb,1,SCForcedChoice_green,15
Easy,fb,1,SCForcedChoice_blue,15
Easy,fb,1,SCForcedChoice_purple,15
posttest:Post-Test:;,fb,1,TypeResp,16
1,fb,1,BlockVaryQ,16
0,fb,1,ItemVaryQ,16
22,fb,1,FreqPredict_1,16
24,fb,1,FreqPredict_2,16
10,fb,1,FreqPredict_3,16
17,fb,1,FreqPredict_4,16
8,fb,1,FreqPredict_5,16
Easy,fb,1,SCForcedChoice_red,16
Hard,fb,1,SCForcedChoice_orange,16
Hard,fb,1,SCForcedChoice_yellow,16
Hard,fb,1,SCForcedChoice_green,16
Neutral,fb,1,SCForcedChoice_blue,16
Neutral,fb,1,SCForcedChoice_purple,16
posttest:Post-Test:;,fb,1,TypeResp,17
0,fb,1,BlockVaryQ,17
0,fb,1,ItemVaryQ,17
0,fb,1,FreqPredict_1,17
0,fb,1,FreqPredict_2,17
67,fb,1,FreqPredict_3,17
75,fb,1,FreqPredict_4,17
80,fb,1,FreqPredict_5,17
Neutral,fb,1,SCForcedChoice_red,17
Hard,fb,1,SCForcedChoice_orange,17
Hard,fb,1,SCForcedChoice_yellow,17
Easy,fb,1,SCForcedChoice_green,17
Neutral,fb,1,SCForcedChoice_blue,17
Easy,fb,1,SCForcedChoice_purple,17
posttest:Post-Test:;,fb,1,TypeResp,18
0,fb,1,BlockVaryQ,18
0,fb,1,ItemVaryQ,18
71,fb,1,FreqPredict_1,18
69,fb,1,FreqPredict_2,18
26,fb,1,FreqPredict_3,18
29,fb,1,FreqPredict_4,18
34,fb,1,FreqPredict_5,18
Easy,fb,1,SCForcedChoice_red,18
Hard,fb,1,SCForcedChoice_orange,18
Hard,fb,1,SCForcedChoice_yellow,18
Easy,fb,1,SCForcedChoice_green,18
Easy,fb,1,SCForcedChoice_blue,18
Hard,fb,1,SCForcedChoice_purple,18
posttest:Post-Test:;,fb,1,TypeResp,19
1,fb,1,BlockVaryQ,19
1,fb,1,ItemVaryQ,19
20,fb,1,FreqPredict_1,19
20,fb,1,FreqPredict_2,19
85,fb,1,FreqPredict_3,19
49,fb,1,FreqPredict_4,19
15,fb,1,FreqPredict_5,19
Hard,fb,1,SCForcedChoice_red,19
Neutral,fb,1,SCForcedChoice_orange,19
Easy,fb,1,SCForcedChoice_yellow,19
Hard,fb,1,SCForcedChoice_green,19
Hard,fb,1,SCForcedChoice_blue,19
Easy,fb,1,SCForcedChoice_purple,19
posttest:Post-Test:;,fb,1,TypeResp,20
1,fb,1,BlockVaryQ,20
1,fb,1,ItemVaryQ,20
50,fb,1,FreqPredict_1,20
100,fb,1,FreqPredict_2,20
100,fb,1,FreqPredict_3,20
50,fb,1,FreqPredict_4,20
100,fb,1,FreqPredict_5,20
Easy,fb,1,SCForcedChoice_red,20
Hard,fb,1,SCForcedChoice_orange,20
Hard,fb,1,SCForcedChoice_yellow,20
Easy,fb,1,SCForcedChoice_green,20
Hard,fb,1,SCForcedChoice_blue,20
Easy,fb,1,SCForcedChoice_purple,20
posttest:Post-Test:;,fb,1,TypeResp,21
1,fb,1,BlockVaryQ,21
1,fb,1,ItemVaryQ,21
74,fb,1,FreqPredict_1,21
86,fb,1,FreqPredict_2,21
69,fb,1,FreqPredict_3,21
62,fb,1,FreqPredict_4,21
37,fb,1,FreqPredict_5,21
Hard,fb,1,SCForcedChoice_red,21
Neutral,fb,1,SCForcedChoice_orange,21
Neutral,fb,1,SCForcedChoice_yellow,21
Hard,fb,1,SCForcedChoice_green,21
Easy,fb,1,SCForcedChoice_blue,21
Hard,fb,1,SCForcedChoice_purple,21
posttest:Post-Test:;,fb,1,TypeResp,22
0,fb,1,BlockVaryQ,22
0,fb,1,ItemVaryQ,22
20,fb,1,FreqPredict_1,22
40,fb,1,FreqPredict_2,22
30,fb,1,FreqPredict_3,22
0,fb,1,FreqPredict_4,22
20,fb,1,FreqPredict_5,22
Easy,fb,1,SCForcedChoice_red,22
Hard,fb,1,SCForcedChoice_orange,22
Easy,fb,1,SCForcedChoice_yellow,22
Neutral,fb,1,SCForcedChoice_green,22
Hard,fb,1,SCForcedChoice_blue,22
Neutral,fb,1,SCForcedChoice_purple,22
posttest:Post-Test:;,fb,1,TypeResp,23
1,fb,1,BlockVaryQ,23
1,fb,1,ItemVaryQ,23
85,fb,1,FreqPredict_1,23
74,fb,1,FreqPredict_2,23
93,fb,1,FreqPredict_3,23
87,fb,1,FreqPredict_4,23
77,fb,1,FreqPredict_5,23
Hard,fb,1,SCForcedChoice_red,23
Easy,fb,1,SCForcedChoice_orange,23
Easy,fb,1,SCForcedChoice_yellow,23
Neutral,fb,1,SCForcedChoice_green,23
Easy,fb,1,SCForcedChoice_blue,23
Easy,fb,1,SCForcedChoice_purple,23
posttest:Post-Test:;,fb,1,TypeResp,24
0,fb,1,BlockVaryQ,24
0,fb,1,ItemVaryQ,24
65,fb,1,FreqPredict_1,24
39,fb,1,FreqPredict_2,24
72,fb,1,FreqPredict_3,24
67,fb,1,FreqPredict_4,24
44,fb,1,FreqPredict_5,24
Easy,fb,1,SCForcedChoice_red,24
Hard,fb,1,SCForcedChoice_orange,24
Hard,fb,1,SCForcedChoice_yellow,24
Easy,fb,1,SCForcedChoice_green,24
Easy,fb,1,SCForcedChoice_blue,24
Neutral,fb,1,SCForcedChoice_purple,24
posttest:Post-Test:;,fb,1,TypeResp,25
1,fb,1,BlockVaryQ,25
1,fb,1,ItemVaryQ,25
71,fb,1,FreqPredict_1,25
47,fb,1,FreqPredict_2,25
48,fb,1,FreqPredict_3,25
71,fb,1,FreqPredict_4,25
47,fb,1,FreqPredict_5,25
Neutral,fb,1,SCForcedChoice_red,25
Neutral,fb,1,SCForcedChoice_orange,25
Easy,fb,1,SCForcedChoice_yellow,25
Neutral,fb,1,SCForcedChoice_green,25
Hard,fb,1,SCForcedChoice_blue,25
Easy,fb,1,SCForcedChoice_purple,25
posttest:Post-Test:;,fb,1,TypeResp,26
1,fb,1,BlockVaryQ,26
1,fb,1,ItemVaryQ,26
26,fb,1,FreqPredict_1,26
27,fb,1,FreqPredict_2,26
15,fb,1,FreqPredict_3,26
85,fb,1,FreqPredict_4,26
70,fb,1,FreqPredict_5,26
Easy,fb,1,SCForcedChoice_red,26
Hard,fb,1,SCForcedChoice_orange,26
Hard,fb,1,SCForcedChoice_yellow,26
Easy,fb,1,SCForcedChoice_green,26
Hard,fb,1,SCForcedChoice_blue,26
Easy,fb,1,SCForcedChoice_purple,26
posttest:Post-Test:;,fb,1,TypeResp,27
1,fb,1,BlockVaryQ,27
1,fb,1,ItemVaryQ,27
0,fb,1,FreqPredict_1,27
0,fb,1,FreqPredict_2,27
50,fb,1,FreqPredict_3,27
0,fb,1,FreqPredict_4,27
0,fb,1,FreqPredict_5,27
Hard,fb,1,SCForcedChoice_red,27
Easy,fb,1,SCForcedChoice_orange,27
Easy,fb,1,SCForcedChoice_yellow,27
Hard,fb,1,SCForcedChoice_green,27
Neutral,fb,1,SCForcedChoice_blue,27
Neutral,fb,1,SCForcedChoice_purple,27
posttest:Post-Test:;,fb,1,TypeResp,28
1,fb,1,BlockVaryQ,28
1,fb,1,ItemVaryQ,28
5,fb,1,FreqPredict_1,28
89,fb,1,FreqPredict_2,28
68,fb,1,FreqPredict_3,28
64,fb,1,FreqPredict_4,28
45,fb,1,FreqPredict_5,28
Easy,fb,1,SCForcedChoice_red,28
Hard,fb,1,SCForcedChoice_orange,28
Easy,fb,1,SCForcedChoice_yellow,28
Hard,fb,1,SCForcedChoice_green,28
Hard,fb,1,SCForcedChoice_blue,28
Hard,fb,1,SCForcedChoice_purple,28
posttest:Post-Test:;,fb,1,TypeResp,29
1,fb,1,BlockVaryQ,29
1,fb,1,ItemVaryQ,29
39,fb,1,FreqPredict_1,29
43,fb,1,FreqPredict_2,29
22,fb,1,FreqPredict_3,29
77,fb,1,FreqPredict_4,29
31,fb,1,FreqPredict_5,29
Hard,fb,1,SCForcedChoice_red,29
Neutral,fb,1,SCForcedChoice_orange,29
Easy,fb,1,SCForcedChoice_yellow,29
Neutral,fb,1,SCForcedChoice_green,29
Hard,fb,1,SCForcedChoice_blue,29
Easy,fb,1,SCForcedChoice_purple,29
posttest:Post-Test:;,fb,1,TypeResp,30
0,fb,1,BlockVaryQ,30
0,fb,1,ItemVaryQ,30
50,fb,1,FreqPredict_1,30
50,fb,1,FreqPredict_2,30
30,fb,1,FreqPredict_3,30
30,fb,1,FreqPredict_4,30
100,fb,1,FreqPredict_5,30
Hard,fb,1,SCForcedChoice_red,30
Hard,fb,1,SCForcedChoice_orange,30
Hard,fb,1,SCForcedChoice_yellow,30
Easy,fb,1,SCForcedChoice_green,30
Easy,fb,1,SCForcedChoice_blue,30
Hard,fb,1,SCForcedChoice_purple,30
posttest:Post-Test:;,fb,1,TypeResp,31
1,fb,1,BlockVaryQ,31
1,fb,1,ItemVaryQ,31
80,fb,1,FreqPredict_1,31
0,fb,1,FreqPredict_2,31
0,fb,1,FreqPredict_3,31
80,fb,1,FreqPredict_4,31
0,fb,1,FreqPredict_5,31
Hard,fb,1,SCForcedChoice_red,31
Hard,fb,1,SCForcedChoice_orange,31
Hard,fb,1,SCForcedChoice_yellow,31
Hard,fb,1,SCForcedChoice_green,31
Easy,fb,1,SCForcedChoice_blue,31
Easy,fb,1,SCForcedChoice_purple,31
posttest:Post-Test:;,fb,1,TypeResp,32
0,fb,1,BlockVaryQ,32
1,fb,1,ItemVaryQ,32
0,fb,1,FreqPredict_1,32
12,fb,1,FreqPredict_2,32
75,fb,1,FreqPredict_3,32
31,fb,1,FreqPredict_4,32
27,fb,1,FreqPredict_5,32
Easy,fb,1,SCForcedChoice_red,32
Hard,fb,1,SCForcedChoice_orange,32
Hard,fb,1,SCForcedChoice_yellow,32
Easy,fb,1,SCForcedChoice_green,32
Easy,fb,1,SCForcedChoice_blue,32
Hard,fb,1,SCForcedChoice_purple,32
posttest:Post-Test:;,fb,1,TypeResp,33
1,fb,1,BlockVaryQ,33
1,fb,1,ItemVaryQ,33
66,fb,1,FreqPredict_1,33
19,fb,1,FreqPredict_2,33
70,fb,1,FreqPredict_3,33
88,fb,1,FreqPredict_4,33
70,fb,1,FreqPredict_5,33
Easy,fb,1,SCForcedChoice_red,33
Hard,fb,1,SCForcedChoice_orange,33
Easy,fb,1,SCForcedChoice_yellow,33
Easy,fb,1,SCForcedChoice_green,33
Easy,fb,1,SCForcedChoice_blue,33
Neutral,fb,1,SCForcedChoice_purple,33
posttest:Post-Test:;,fb,1,TypeResp,34
1,fb,1,BlockVaryQ,34
1,fb,1,ItemVaryQ,34
83,fb,1,FreqPredict_1,34
96,fb,1,FreqPredict_2,34
71,fb,1,FreqPredict_3,34
85,fb,1,FreqPredict_4,34
69,fb,1,FreqPredict_5,34
Easy,fb,1,SCForcedChoice_red,34
Neutral,fb,1,SCForcedChoice_orange,34
Hard,fb,1,SCForcedChoice_yellow,34
Easy,fb,1,SCForcedChoice_green,34
Neutral,fb,1,SCForcedChoice_blue,34
Hard,fb,1,SCForcedChoice_purple,34
posttest:Post-Test:;,fb,1,TypeResp,35
1,fb,1,BlockVaryQ,35
1,fb,1,ItemVaryQ,35
0,fb,1,FreqPredict_1,35
24,fb,1,FreqPredict_2,35
63,fb,1,FreqPredict_3,35
0,fb,1,FreqPredict_4,35
75,fb,1,FreqPredict_5,35
Hard,fb,1,SCForcedChoice_red,35
Easy,fb,1,SCForcedChoice_orange,35
Hard,fb,1,SCForcedChoice_yellow,35
Hard,fb,1,SCForcedChoice_green,35
Easy,fb,1,SCForcedChoice_blue,35
Hard,fb,1,SCForcedChoice_purple,35
posttest:Post-Test:;,fb,1,TypeResp,36
0,fb,1,BlockVaryQ,36
0,fb,1,ItemVaryQ,36
86,fb,1,FreqPredict_1,36
9,fb,1,FreqPredict_2,36
11,fb,1,FreqPredict_3,36
13,fb,1,FreqPredict_4,36
52,fb,1,FreqPredict_5,36
Hard,fb,1,SCForcedChoice_red,36
Easy,fb,1,SCForcedChoice_orange,36
Easy,fb,1,SCForcedChoice_yellow,36
Neutral,fb,1,SCForcedChoice_green,36
Neutral,fb,1,SCForcedChoice_blue,36
Hard,fb,1,SCForcedChoice_purple,36
posttest:Post-Test:;,fb,1,TypeResp,37
0,fb,1,BlockVaryQ,37
0,fb,1,ItemVaryQ,37
53,fb,1,FreqPredict_1,37
43,fb,1,FreqPredict_2,37
54,fb,1,FreqPredict_3,37
57,fb,1,FreqPredict_4,37
59,fb,1,FreqPredict_5,37
Hard,fb,1,SCForcedChoice_red,37
Easy,fb,1,SCForcedChoice_orange,37
Hard,fb,1,SCForcedChoice_yellow,37
Neutral,fb,1,SCForcedChoice_green,37
Neutral,fb,1,SCForcedChoice_blue,37
Hard,fb,1,SCForcedChoice_purple,37
posttest:Post-Test:;,fb,1,TypeResp,38
1,fb,1,BlockVaryQ,38
1,fb,1,ItemVaryQ,38
56,fb,1,FreqPredict_1,38
59,fb,1,FreqPredict_2,38
68,fb,1,FreqPredict_3,38
65,fb,1,FreqPredict_4,38
58,fb,1,FreqPredict_5,38
Easy,fb,1,SCForcedChoice_red,38
Hard,fb,1,SCForcedChoice_orange,38
Easy,fb,1,SCForcedChoice_yellow,38
Easy,fb,1,SCForcedChoice_green,38
Easy,fb,1,SCForcedChoice_blue,38
Hard,fb,1,SCForcedChoice_purple,38
posttest:Post-Test:;,fb,1,TypeResp,39
0,fb,1,BlockVaryQ,39
0,fb,1,ItemVaryQ,39
100,fb,1,FreqPredict_1,39
1,fb,1,FreqPredict_2,39
0,fb,1,FreqPredict_3,39
0,fb,1,FreqPredict_4,39
0,fb,1,FreqPredict_5,39
Hard,fb,1,SCForcedChoice_red,39
Hard,fb,1,SCForcedChoice_orange,39
Neutral,fb,1,SCForcedChoice_yellow,39
Easy,fb,1,SCForcedChoice_green,39
Hard,fb,1,SCForcedChoice_blue,39
Hard,fb,1,SCForcedChoice_purple,39
posttest:Post-Test:;,fb,1,TypeResp,40
1,fb,1,BlockVaryQ,40
0,fb,1,ItemVaryQ,40
27,fb,1,FreqPredict_1,40
11,fb,1,FreqPredict_2,40
25,fb,1,FreqPredict_3,40
79,fb,1,FreqPredict_4,40
14,fb,1,FreqPredict_5,40
Hard,fb,1,SCForcedChoice_red,40
Neutral,fb,1,SCForcedChoice_orange,40
Neutral,fb,1,SCForcedChoice_yellow,40
Easy,fb,1,SCForcedChoice_green,40
Hard,fb,1,SCForcedChoice_blue,40
Easy,fb,1,SCForcedChoice_purple,40
posttest:Post-Test:;,fb,1,TypeResp,41
1,fb,1,BlockVaryQ,41
1,fb,1,ItemVaryQ,41
48,fb,1,FreqPredict_1,41
68,fb,1,FreqPredict_2,41
15,fb,1,FreqPredict_3,41
7,fb,1,FreqPredict_4,41
10,fb,1,FreqPredict_5,41
Hard,fb,1,SCForcedChoice_red,41
Easy,fb,1,SCForcedChoice_orange,41
Easy,fb,1,SCForcedChoice_yellow,41
Neutral,fb,1,SCForcedChoice_green,41
Hard,fb,1,SCForcedChoice_blue,41
Neutral,fb,1,SCForcedChoice_purple,41
posttest:Post-Test:;,fb,1,TypeResp,42
1,fb,1,BlockVaryQ,42
1,fb,1,ItemVaryQ,42
15,fb,1,FreqPredict_1,42
75,fb,1,FreqPredict_2,42
6,fb,1,FreqPredict_3,42
27,fb,1,FreqPredict_4,42
16,fb,1,FreqPredict_5,42
Hard,fb,1,SCForcedChoice_red,42
Easy,fb,1,SCForcedChoice_orange,42
Easy,fb,1,SCForcedChoice_yellow,42
Easy,fb,1,SCForcedChoice_green,42
Hard,fb,1,SCForcedChoice_blue,42
Hard,fb,1,SCForcedChoice_purple,42
posttest:Post-Test:;,fb,1,TypeResp,43
1,fb,1,BlockVaryQ,43
1,fb,1,ItemVaryQ,43
84,fb,1,FreqPredict_1,43
65,fb,1,FreqPredict_2,43
79,fb,1,FreqPredict_3,43
74,fb,1,FreqPredict_4,43
85,fb,1,FreqPredict_5,43
Easy,fb,1,SCForcedChoice_red,43
Easy,fb,1,SCForcedChoice_orange,43
Neutral,fb,1,SCForcedChoice_yellow,43
Easy,fb,1,SCForcedChoice_green,43
Hard,fb,1,SCForcedChoice_blue,43
Easy,fb,1,SCForcedChoice_purple,43
posttest:Post-Test:;,fb,1,TypeResp,44
0,fb,1,BlockVaryQ,44
0,fb,1,ItemVaryQ,44
59,fb,1,FreqPredict_1,44
35,fb,1,FreqPredict_2,44
85,fb,1,FreqPredict_3,44
70,fb,1,FreqPredict_4,44
80,fb,1,FreqPredict_5,44
Hard,fb,1,SCForcedChoice_red,44
Easy,fb,1,SCForcedChoice_orange,44
Neutral,fb,1,SCForcedChoice_yellow,44
Easy,fb,1,SCForcedChoice_green,44
Hard,fb,1,SCForcedChoice_blue,44
Easy,fb,1,SCForcedChoice_purple,44
posttest:Post-Test:;,fb,1,TypeResp,45
0,fb,1,BlockVaryQ,45
0,fb,1,ItemVaryQ,45
3,fb,1,FreqPredict_1,45
7,fb,1,FreqPredict_2,45
8,fb,1,FreqPredict_3,45
70,fb,1,FreqPredict_4,45
10,fb,1,FreqPredict_5,45
Hard,fb,1,SCForcedChoice_red,45
Easy,fb,1,SCForcedChoice_orange,45
Easy,fb,1,SCForcedChoice_yellow,45
Hard,fb,1,SCForcedChoice_green,45
Hard,fb,1,SCForcedChoice_blue,45
Hard,fb,1,SCForcedChoice_purple,45
posttest:Post-Test:;,fb,1,TypeResp,46
0,fb,1,BlockVaryQ,46
0,fb,1,ItemVaryQ,46
7,fb,1,FreqPredict_1,46
37,fb,1,FreqPredict_2,46
14,fb,1,FreqPredict_3,46
3,fb,1,FreqPredict_4,46
67,fb,1,FreqPredict_5,46
Hard,fb,1,SCForcedChoice_red,46
Neutral,fb,1,SCForcedChoice_orange,46
Neutral,fb,1,SCForcedChoice_yellow,46
Neutral,fb,1,SCForcedChoice_green,46
Hard,fb,1,SCForcedChoice_blue,46
Easy,fb,1,SCForcedChoice_purple,46
posttest:Post-Test:;,fb,1,TypeResp,47
0,fb,1,BlockVaryQ,47
0,fb,1,ItemVaryQ,47
0,fb,1,FreqPredict_1,47
48,fb,1,FreqPredict_2,47
48,fb,1,FreqPredict_3,47
47,fb,1,FreqPredict_4,47
6,fb,1,FreqPredict_5,47
Hard,fb,1,SCForcedChoice_red,47
Hard,fb,1,SCForcedChoice_orange,47
Hard,fb,1,SCForcedChoice_yellow,47
Easy,fb,1,SCForcedChoice_green,47
Easy,fb,1,SCForcedChoice_blue,47
Easy,fb,1,SCForcedChoice_purple,47
posttest:Post-Test:;,fb,1,TypeResp,48
1,fb,1,BlockVaryQ,48
0,fb,1,ItemVaryQ,48
80,fb,1,FreqPredict_1,48
90,fb,1,FreqPredict_2,48
73,fb,1,FreqPredict_3,48
86,fb,1,FreqPredict_4,48
74,fb,1,FreqPredict_5,48
Neutral,fb,1,SCForcedChoice_red,48
Easy,fb,1,SCForcedChoice_orange,48
Easy,fb,1,SCForcedChoice_yellow,48
Neutral,fb,1,SCForcedChoice_green,48
Hard,fb,1,SCForcedChoice_blue,48
Neutral,fb,1,SCForcedChoice_purple,48
posttest:Post-Test:;,fb,1,TypeResp,49
0,fb,1,BlockVaryQ,49
0,fb,1,ItemVaryQ,49
27,fb,1,FreqPredict_1,49
